"wn","VIP","PC1","PC2","PLS_p1","PLS_p2"
674.287,0.627488,-0.024319,0.036522,0.024314,-0.012903
676.983,0.521952,-0.020402,0.042349,0.020389,-0.019979
679.679,0.451459,-0.017825,0.037375,0.017809,-0.021088
682.372,0.512787,-0.020223,0.01776,0.020216,-0.013361
685.064,0.739055,-0.02899,-0.011811,0.029003,0.002699
687.754,1.069466,-0.041791,-0.037968,0.041823,0.018044
690.443,1.360997,-0.05259,-0.058775,0.052645,0.036812
693.13,1.519447,-0.05753,-0.076331,0.057612,0.062643
695.816,1.411633,-0.052367,-0.072833,0.052453,0.0688
698.5,1.075056,-0.038471,-0.056623,0.038545,0.062185
701.182,0.656632,-0.020787,-0.04605,0.020854,0.059939
703.863,0.267328,-0.00061,-0.040078,0.000667,0.057954
706.542,0.502677,0.01961,-0.032197,-0.019564,0.053005
709.22,0.847215,0.033776,-0.021721,-0.033747,0.04046
711.896,1.050827,0.041609,-0.016922,-0.041593,0.030414
714.57,1.122544,0.044411,-0.015774,-0.044395,0.030523
717.243,1.077661,0.042518,-0.005592,-0.042514,0.018854
719.914,0.890152,0.03502,0.005001,-0.035029,0.002611
722.584,0.651512,0.025593,0.008633,-0.02561,-0.008755
725.252,0.419464,0.01638,0.013378,-0.016404,-0.018208
727.919,0.253978,0.009709,0.021455,-0.009739,-0.025635
730.584,0.131687,0.003912,0.025353,-0.003948,-0.034798
733.247,0.089143,-0.00128,0.022649,0.001247,-0.033404
735.909,0.104557,-0.002656,0.024008,0.002626,-0.030856
738.569,0.108408,-0.001914,0.03109,0.001879,-0.035876
741.227,0.095106,1.9e-05,0.035363,-5.6e-05,-0.036879
743.884,0.101337,0.002147,0.034208,-0.002184,-0.036431
746.54,0.09781,0.003112,0.03188,-0.003146,-0.032437
749.194,0.018093,0.000701,0.022149,-0.000721,-0.019273
751.846,0.11315,-0.003339,0.009679,0.003335,-0.005315
754.497,0.195119,-0.006066,0.004069,0.006072,0.004226
757.146,0.252724,-0.009285,0.004628,0.00929,0.002695
759.794,0.278905,-0.010796,0.005367,0.010798,-0.001741
762.44,0.238708,-0.009314,0.004665,0.009313,-0.004173
765.084,0.179751,-0.00693,0.000931,0.006929,-0.0027
767.727,0.119406,-0.004165,-0.01016,0.004176,0.009771
770.368,0.113444,-0.003614,-0.02189,0.003638,0.02292
773.008,0.106521,-0.002565,-0.021136,0.002594,0.027793
775.646,0.071111,-0.000353,-0.017922,0.000382,0.029489
778.283,0.025736,0.000403,-0.015747,-0.000373,0.029558
780.918,0.034723,0.000332,-0.004195,-0.000316,0.016448
783.551,0.046405,-0.000675,0.004559,0.000679,0.003165
786.183,0.011217,-0.000418,-0.003425,0.000425,0.007142
788.813,0.020668,-6.9e-05,-0.018021,8.5e-05,0.016153
791.442,0.025841,-0.000296,-0.02115,0.000313,0.01695
794.069,0.056617,-0.000939,-0.015327,0.000956,0.016334
796.695,0.06255,-9.1e-05,-0.013989,0.000108,0.017193
799.319,0.064581,0.002583,-0.009564,-0.002574,0.010301
801.942,0.097172,0.0026,0.008636,-0.002611,-0.010355
804.563,0.062322,0.001243,0.013694,-0.00126,-0.016633
807.182,0.023199,0.00027,0.004327,-0.000281,-0.011036
809.8,0.055532,-0.001944,0.00361,0.001927,-0.017935
812.416,0.077689,-0.003072,0.006165,0.003051,-0.02287
815.031,0.141942,-0.005631,0.004642,0.005615,-0.017842
817.644,0.167534,-0.006673,-0.001022,0.006662,-0.013201
820.256,0.133489,-0.004869,0.000674,0.004851,-0.020326
822.866,0.122598,-0.003897,0.007761,0.003872,-0.026385
825.475,0.057511,-0.002258,0.004388,0.002244,-0.014565
828.082,0.006604,-0.000234,0.006391,0.000223,-0.011749
830.687,0.049304,0.001547,0.01562,-0.001569,-0.021146
833.291,0.093339,0.003698,0.011775,-0.003716,-0.015936
835.893,0.078014,0.001693,-0.0097,-0.001684,0.009656
838.494,0.115218,-0.001642,-0.025928,0.001671,0.027964
