"wn","VIP","PC1","PC2","PLS_p1","PLS_p2"
1471.38,0.041027,-7.1e-05,-0.00667,8.5e-05,0.014617
1473.6,0.051557,-0.00068,-0.004799,0.000692,0.012403
1475.82,0.075264,-0.001828,-0.003869,0.001838,0.009584
1478.04,0.039019,-0.001111,-0.001571,0.001114,0.003039
1480.26,0.033754,-0.000699,-0.003822,0.000707,0.007441
1482.47,0.042119,-0.000611,-0.006184,0.000624,0.012402
1484.69,0.010006,-0.000376,-0.004517,0.000383,0.006542
1486.9,0.052842,0.000113,-0.000578,-0.000115,-0.002185
1489.12,0.095634,0.002153,0.005003,-0.002161,-0.007074
1491.33,0.088071,0.002475,0.007503,-0.002483,-0.00759
1493.54,0.113013,0.003252,0.00669,-0.003264,-0.011832
1495.75,0.147734,0.004603,0.004464,-0.004617,-0.012229
1497.95,0.149966,0.005293,-0.001082,-0.005298,-0.003585
1500.16,0.15884,0.00549,-0.002463,-0.005493,-0.001428
1502.36,0.156,0.004408,-0.002884,-0.004413,-0.004441
1504.57,0.156841,0.003983,-0.000318,-0.003992,-0.007367
1506.77,0.130617,0.003445,0.010182,-0.003457,-0.01108
1508.97,0.100112,0.002556,0.017068,-0.002572,-0.014894
1511.17,0.078708,0.001764,0.021834,-0.001785,-0.021015
1513.37,0.007853,-0.000322,0.019423,0.000305,-0.016576
1515.57,0.074037,-0.001215,0.0081,0.001214,-0.000962
1517.76,0.073502,-0.001191,0.003453,0.001195,0.003442
1519.95,0.054248,-0.001286,-0.001897,0.001289,0.002396
1522.15,0.015603,-0.000158,0.00124,0.000152,-0.006217
1524.34,0.089737,0.000944,0.009515,-0.000966,-0.021261
1526.53,0.138367,0.002313,0.013643,-0.002342,-0.028817
1528.72,0.15918,0.003049,0.021756,-0.003084,-0.033853
1530.91,0.144968,0.002375,0.023948,-0.00241,-0.034662
1533.09,0.072543,-0.001358,0.016702,0.001337,-0.021534
1535.28,0.157425,-0.006288,0.015454,0.006275,-0.015432
1537.46,0.258012,-0.010266,0.014172,0.010255,-0.014268
1539.64,0.386445,-0.015315,0.009076,0.015313,-0.006935
1541.83,0.538574,-0.021015,-0.002563,0.021025,0.003609
1544.01,0.645589,-0.024824,-0.015821,0.024847,0.01461
1546.18,0.66147,-0.025099,-0.028476,0.025134,0.026743
1548.36,0.563715,-0.021392,-0.03069,0.021423,0.024025
1550.54,0.466988,-0.017951,-0.018815,0.017969,0.011403
1552.71,0.324469,-0.012807,-0.003258,0.012808,-0.00409
1554.89,0.152921,-0.005708,0.005588,0.005697,-0.013198
1557.06,0.132653,-0.000794,0.01716,0.000773,-0.021125
1559.23,0.182541,0.002892,0.029278,-0.002923,-0.030564
1561.4,0.187837,0.004087,0.030653,-0.004119,-0.030217
1563.57,0.15201,0.004046,0.021985,-0.004069,-0.021256
1565.73,0.185618,0.006076,0.015711,-0.006097,-0.018808
1567.9,0.213648,0.006897,0.019318,-0.006922,-0.023189
1570.06,0.203668,0.006576,0.018946,-0.0066,-0.021948
1572.23,0.182748,0.00545,0.018227,-0.005473,-0.021542
1574.39,0.143743,0.00207,0.02389,-0.002095,-0.025175
1576.55,0.112841,-0.000992,0.026508,0.000969,-0.02374
1578.71,0.10879,-0.003424,0.024355,0.003404,-0.02055
1580.87,0.108018,-0.004118,0.011064,0.004107,-0.01268
1583.02,0.05039,-0.001133,0.000184,0.001125,-0.00857
1585.18,0.092035,0.001715,0.005075,-0.001731,-0.016218
1587.33,0.090998,0.001973,0.01227,-0.001995,-0.021698
1589.49,0.050046,0.000867,0.015411,-0.000886,-0.018354
1591.64,0.050782,-0.00202,0.008191,0.002017,-0.003438
1593.79,0.11522,-0.00401,-0.006236,0.004028,0.016302
1595.94,0.158453,-0.004016,-0.02248,0.004052,0.034698
1598.08,0.209836,-0.003997,-0.039978,0.004051,0.052688
1600.23,0.196596,-0.003571,-0.035723,0.003621,0.048427
1602.38,0.158872,-0.004283,-0.015253,0.00431,0.026094
1604.52,0.190545,-0.007095,0.004422,0.0071,0.002513
1606.66,0.220191,-0.008624,0.013265,0.008618,-0.008541
1608.8,0.242335,-0.009555,0.01195,0.009548,-0.009222
1610.94,0.224867,-0.008805,0.010491,0.008802,-0.005718
1613.08,0.158774,-0.0058,0.003544,0.005806,0.003857
1615.22,0.144733,-0.004198,-0.009996,0.004216,0.017422
1617.36,0.136933,-0.002766,-0.01973,0.002795,0.02805
1619.49,0.095523,-0.00038,-0.022484,0.000406,0.026134
1621.62,0.079073,0.000854,-0.029258,-0.00083,0.024435
1623.76,0.094317,-0.000275,-0.037112,0.000304,0.029138
1625.89,0.145756,-0.002674,-0.037974,0.002705,0.030554
1628.02,0.152141,-0.002656,-0.030021,0.002684,0.027273
1630.15,0.124453,-0.001834,-0.016219,0.001855,0.02111
1632.27,0.133387,-0.002434,-0.006158,0.002454,0.019442
1634.4,0.101143,-0.00143,-0.000365,0.001447,0.017158
1636.53,0.042978,0.00092,0.002939,-0.000912,0.008599
1638.65,0.028556,0.001007,-0.002376,-0.001,0.007585
1640.77,0.054054,-0.002142,-0.009765,0.002154,0.011524
1642.89,0.142315,-0.005643,-0.015258,0.005661,0.015653
1645.01,0.159655,-0.006283,-0.015121,0.006302,0.016757
1647.13,0.150661,-0.005991,-0.005802,0.006004,0.010795
1649.25,0.145035,-0.005762,0.00544,0.005768,0.004883
1651.36,0.074503,-0.002927,0.014033,0.002927,-0.001256
1653.48,0.045733,0.001731,0.017625,-0.001741,-0.009248
1655.59,0.105293,0.004058,0.017188,-0.004073,-0.013011
1657.71,0.079892,0.003145,0.007209,-0.003147,-0.001011
1659.82,0.080817,0.000649,-0.002864,-0.000636,0.013673
1661.93,0.084579,-0.000969,-0.007407,0.000986,0.017042
1664.04,0.07589,-0.002279,-0.00756,0.002295,0.014964
1666.14,0.09039,-0.003298,-0.002008,0.003308,0.00892
1668.25,0.059881,-0.002374,0.008686,0.002369,-0.005572
1670.35,0.080772,8.5e-05,0.021673,-0.00011,-0.024843
1672.46,0.069678,0.000725,0.024564,-0.000751,-0.026409
1674.56,0.058326,-0.001772,0.018342,0.001761,-0.011057
1676.66,0.168571,-0.004692,0.01131,0.004695,0.002382
1678.76,0.218364,-0.006257,-0.002254,0.006274,0.015273
1680.86,0.23406,-0.006966,-0.009252,0.006989,0.020775
1682.96,0.218494,-0.006903,-0.007188,0.006923,0.017324
1685.05,0.148417,-0.005234,-0.000263,0.005242,0.006509
1687.15,0.049905,-0.001681,0.009277,0.001672,-0.009095
1689.24,0.054516,0.000941,0.011686,-0.000951,-0.010109
1691.33,0.063132,0.002358,0.019025,-0.002368,-0.009621
1693.42,0.083345,0.003302,0.022466,-0.003313,-0.009375
1695.51,0.104155,0.003772,0.015261,-0.003776,-0.003059
1697.6,0.095559,0.003333,0.013223,-0.003338,-0.003242
1699.69,0.042684,0.001201,0.016094,-0.001209,-0.00761
1701.78,0.052937,-0.002113,0.015829,0.002102,-0.011762
1703.86,0.114332,-0.004356,0.007323,0.004348,-0.010253
1705.95,0.120907,-0.004566,-0.003409,0.004569,0.001234
1708.03,0.083581,-0.003122,-0.003322,0.003129,0.005882
1710.11,0.046946,-0.001737,-0.001405,0.001743,0.00512
1712.19,0.004968,-0.000179,-0.007925,0.000189,0.010308
1714.27,0.029546,0.001182,-0.007473,-0.001173,0.009159
1716.35,0.040011,0.00159,-0.003327,-0.001587,0.003753
1718.42,0.040392,-0.001535,-0.009855,0.001539,0.003389
1720.5,0.135861,-0.005277,-0.020486,0.005286,0.007041
1722.57,0.143239,-0.005515,-0.026709,0.005529,0.012297
1724.64,0.112291,-0.004365,-0.020589,0.004376,0.009658
1726.72,0.105242,-0.004192,-0.006452,0.004194,-0.000112
1728.79,0.112331,-0.004473,-0.001861,0.004474,-0.000193
1730.85,0.110026,-0.004086,0.001011,0.004093,0.005917
1732.92,0.079279,-0.002463,0.00162,0.002474,0.010531
1734.99,0.103497,-0.003642,-0.004238,0.003657,0.013931
1737.05,0.148191,-0.005603,-0.007029,0.005617,0.011715
1739.12,0.10005,-0.003885,-0.010413,0.003896,0.009333
1741.18,0.044528,-0.001663,-0.009324,0.001668,0.004841
1743.24,0.054237,-0.00032,-0.003398,0.000317,-0.003473
1745.3,0.077138,0.000816,-0.000281,-0.000823,-0.007542
1747.36,0.116119,0.002974,-0.0029,-0.002979,-0.004336
1749.42,0.167638,0.004624,-0.002514,-0.004632,-0.006808
1751.48,0.134152,0.002792,0.00013,-0.002802,-0.0095
1753.53,0.080867,-0.000851,1.1e-05,0.000844,-0.007705
1755.59,0.105562,-0.003124,0.005307,0.00311,-0.01515
1757.64,0.148354,-0.005116,0.017781,0.00509,-0.028069
1759.69,0.174548,-0.005794,0.03382,0.005753,-0.043712
1761.74,0.169962,-0.004665,0.047274,0.004611,-0.055578
1763.79,0.111187,-0.001251,0.045443,0.001202,-0.049102
1765.84,0.092106,0.001913,0.037389,-0.001951,-0.037513
1767.89,0.075159,0.002527,0.022493,-0.002549,-0.02121
1769.93,0.070727,0.002772,0.003744,-0.002775,-0.002318
1771.98,0.111111,0.004233,-0.001644,-0.004234,0.001123
1774.02,0.130621,0.004929,-0.00326,-0.004929,0.000762
1776.07,0.157253,0.005602,-0.002705,-0.005608,-0.003416
1778.11,0.185014,0.006059,-0.001913,-0.006067,-0.00619
1780.15,0.15521,0.005425,-0.005415,-0.005427,-0.000325
1782.19,0.134271,0.004831,-0.00125,-0.004837,-0.004324
1784.22,0.100891,0.003439,0.003993,-0.00345,-0.009966
1786.26,0.072214,0.001649,0.012029,-0.001665,-0.016015
1788.29,0.107322,0.001425,0.024136,-0.001451,-0.02595
1790.33,0.130506,0.001593,0.026163,-0.001623,-0.029888
1792.36,0.178201,0.002172,0.027314,-0.002208,-0.03605
1794.39,0.22446,0.00192,0.027812,-0.001963,-0.041975
1796.42,0.221072,0.000518,0.027592,-0.000563,-0.045245
1798.45,0.205293,9.3e-05,0.030838,-0.000142,-0.049756
